PPID,FS,Unit,Level,Feature,Art,Size Grade,Weight (g),Chert,Cortex,Flake,Category,Modified,Thermal Alteration,Tool Class,Tool Class Comment,Pottery,Pottery Comment,Historic,Historic Comment,Comment,x,y,z
28,2017-051,N547E390,13,,6,"1/4""",0.9,TRUE,FALSE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,390.844,547.667,100.158
29,2017-051,N547E390,13,,7,"1/2""",1.9,TRUE,TRUE,TRUE,Distal,FALSE,TRUE,,,FALSE,,FALSE,,,390.855,547.762,100.151
30,2017-051,N547E390,13,,8,"1/4""",0.9,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,390.836,547.857,100.15
31,2017-051,N547E390,13,,9,"1/2""",1.5,TRUE,TRUE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,390.671,547.549,100.155
48,2017-051,N547E390,13,,10,"3/4""",11.7,TRUE,TRUE,TRUE,Complete,TRUE,TRUE,Uniface,unifacially modified flake,FALSE,,FALSE,,,390.543,547.743,100.151
32,2017-051,N547E390,13,,11,"1/2""",2.2,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,390.496,547.591,100.147
33,2017-051,N547E390,13,,12,"1/2""",2,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,390.203,547.84,100.148
474,2017-120,N547E392,14,,1,"1/2""",7.2,TRUE,FALSE,TRUE,Complete,TRUE,FALSE,Biface,projectile point,FALSE,,FALSE,,,392.232,547.822,100.113
456,2017-120,N547E392,14,,3,"1/2""",2.4,TRUE,TRUE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,392.194,547.702,100.125
457,2017-120,N547E392,14,,4,"1/2""",2.6,TRUE,FALSE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,392.423,547.796,100.112
458,2017-120,N547E392,14,,5,"1/2""",3.1,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,392.485,547.741,100.115
459,2017-120,N547E392,14,,6,"1/2""",2,TRUE,TRUE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,392.364,547.627,100.114
460,2017-120,N547E392,14,,8,"1/2""",3.2,TRUE,FALSE,TRUE,Shatter,FALSE,TRUE,,,FALSE,,FALSE,,,392.351,547.463,100.113
461,2017-120,N547E392,14,,9,"1/2""",4,TRUE,FALSE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,392.441,547.411,100.109
52,2017-051,N547E390,13,,13,"1""",168.4,FALSE,FALSE,FALSE,,FALSE,FALSE,Other,Sandstone,FALSE,,FALSE,,Quartzite,390.306,547.802,100.122
34,2017-051,N547E390,13,,14,"1/4""",1.9,TRUE,TRUE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,390.115,547.543,100.156
35,2017-051,N547E390,13,,15,"1/4""",0.6,TRUE,FALSE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,390.159,547.219,100.141
36,2017-051,N547E390,13,,16,"1/4""",1.2,TRUE,TRUE,TRUE,Distal,FALSE,TRUE,,,FALSE,,FALSE,,,390.222,547.598,100.149
37,2017-051,N547E390,13,,17,"1/4""",1.6,TRUE,TRUE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,390.212,547.537,100.156
54,2017-051,N547E390,13,,18,"3/4""",9.8,TRUE,FALSE,FALSE,,FALSE,FALSE,Other,Rock,FALSE,,FALSE,,,390.397,547.515,100.126
38,2017-051,N547E390,13,,19,"1/2""",1.6,TRUE,FALSE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,390.501,547.573,100.139
39,2017-051,N547E390,13,,20,"1/2""",2,TRUE,FALSE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,390.513,547.607,100.142
